"id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun"
"1,32,""JAWA BARAT"",""KABUPATEN BOGOR"",LAKI-LAKI,915,""ORANG"",2014"
"2,32,""JAWA BARAT"",""KABUPATEN BOGOR"",PEREMPUAN,919,""ORANG"",2014"
"3,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",LAKI-LAKI,409,""ORANG"",2014"
"4,32,""JAWA BARAT"",""KABUPATEN SUKABUMI"",PEREMPUAN,295,""ORANG"",2014"
"5,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",LAKI-LAKI,200,""ORANG"",2014"
"6,32,""JAWA BARAT"",""KABUPATEN CIANJUR"",PEREMPUAN,139,""ORANG"",2014"
"7,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",LAKI-LAKI,511,""ORANG"",2014"
"8,32,""JAWA BARAT"",""KABUPATEN BANDUNG"",PEREMPUAN,484,""ORANG"",2014"
"9,32,""JAWA BARAT"",""KABUPATEN GARUT"",LAKI-LAKI,274,""ORANG"",2014"
"10,32,""JAWA BARAT"",""KABUPATEN GARUT"",PEREMPUAN,225,""ORANG"",2014"
"11,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",LAKI-LAKI,131,""ORANG"",2014"
"12,32,""JAWA BARAT"",""KABUPATEN TASIKMALAYA"",PEREMPUAN,116,""ORANG"",2014"
"13,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",LAKI-LAKI,168,""ORANG"",2014"
"14,32,""JAWA BARAT"",""KABUPATEN CIAMIS"",PEREMPUAN,139,""ORANG"",2014"
"15,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",LAKI-LAKI,300,""ORANG"",2014"
"16,32,""JAWA BARAT"",""KABUPATEN KUNINGAN"",PEREMPUAN,245,""ORANG"",2014"
"17,32,""JAWA BARAT"",""KABUPATEN CIREBON"",LAKI-LAKI,433,""ORANG"",2014"
"18,32,""JAWA BARAT"",""KABUPATEN CIREBON"",PEREMPUAN,432,""ORANG"",2014"
"19,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",LAKI-LAKI,94,""ORANG"",2014"
"20,32,""JAWA BARAT"",""KABUPATEN MAJALENGKA"",PEREMPUAN,88,""ORANG"",2014"
"21,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",LAKI-LAKI,288,""ORANG"",2014"
"22,32,""JAWA BARAT"",""KABUPATEN SUMEDANG"",PEREMPUAN,252,""ORANG"",2014"
"23,32,""JAWA BARAT"",""KABUPATEN INDRAMAYU"",LAKI-LAKI,177,""ORANG"",2014"
